 Node ID,0:00 ,1:00 ,2:00 ,3:00 ,4:00 ,5:00 ,6:00 ,7:00 ,8:00 ,9:00 ,10:00 ,
35,47.187480,47.187650,47.187650,47.187650,47.187650,47.187650,47.187650,47.187650,47.187650,47.187650,47.187650,
36,47.141820,47.141990,47.141990,47.141990,47.141990,47.141990,47.141990,47.141990,47.141990,47.141990,47.141990,
37,47.111010,47.111180,47.111180,47.111180,47.111180,47.111180,47.111180,47.111180,47.111180,47.111180,47.111180,
38,47.095010,47.095180,47.095180,47.095180,47.095180,47.095180,47.095180,47.095180,47.095180,47.095180,47.095180,
39,47.091510,47.091680,47.091680,47.091680,47.091680,47.091680,47.091680,47.091680,47.091680,47.091680,47.091680,
40,47.096960,47.097130,47.097130,47.097130,47.097130,47.097130,47.097130,47.097130,47.097130,47.097130,47.097130,
41,47.103680,47.103860,47.103860,47.103860,47.103860,47.103860,47.103860,47.103860,47.103860,47.103860,47.103860,
42,47.119510,47.119680,47.119680,47.119680,47.119680,47.119680,47.119680,47.119680,47.119680,47.119680,47.119680,
43,47.176160,47.176330,47.176330,47.176330,47.176330,47.176330,47.176330,47.176330,47.176330,47.176330,47.176330,
44,47.525770,47.525940,47.525940,47.525940,47.525940,47.525940,47.525940,47.525940,47.525940,47.525940,47.525940,
45,47.900020,47.900200,47.900200,47.900200,47.900200,47.900200,47.900200,47.900200,47.900200,47.900200,47.900200,
46,48.242110,48.242290,48.242290,48.242290,48.242290,48.242290,48.242290,48.242290,48.242290,48.242290,48.242290,
47,48.079780,48.079950,48.079950,48.079950,48.079950,48.079950,48.079950,48.079950,48.079950,48.079950,48.079950,
48,48.079440,48.079610,48.079610,48.079610,48.079610,48.079610,48.079610,48.079610,48.079610,48.079610,48.079610,
49,47.135200,47.135370,47.135370,47.135370,47.135370,47.135370,47.135370,47.135370,47.135370,47.135370,47.135370,
50,47.106860,47.107040,47.107040,47.107040,47.107040,47.107040,47.107040,47.107040,47.107040,47.107040,47.107040,
51,47.097860,47.098030,47.098030,47.098030,47.098030,47.098030,47.098030,47.098030,47.098030,47.098030,47.098030,
52,49.463330,49.463500,49.463500,49.463500,49.463500,49.463500,49.463500,49.463500,49.463500,49.463500,49.463500,
53,55.135560,55.135730,55.135730,55.135730,55.135730,55.135730,55.135730,55.135730,55.135730,55.135730,55.135730,
54,49.460770,49.460950,49.460950,49.460950,49.460950,49.460950,49.460950,49.460950,49.460950,49.460950,49.460950,
55,49.455920,49.456100,49.456100,49.456100,49.456100,49.456100,49.456100,49.456100,49.456100,49.456100,49.456100,
56,49.452280,49.452450,49.452450,49.452450,49.452450,49.452450,49.452450,49.452450,49.452450,49.452450,49.452450,
57,49.451530,49.451710,49.451710,49.451710,49.451710,49.451710,49.451710,49.451710,49.451710,49.451710,49.451710,
58,49.434940,49.435110,49.435110,49.435110,49.435110,49.435110,49.435110,49.435110,49.435110,49.435110,49.435110,
59,50.073380,50.073550,50.073550,50.073550,50.073550,50.073550,50.073550,50.073550,50.073550,50.073550,50.073550,
60,49.049950,49.050120,49.050120,49.050120,49.050120,49.050120,49.050120,49.050120,49.050120,49.050120,49.050120,
