Id,Source,Target,,,Weight,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
18,14,15,,,4147.709429,4133.684729,4119.624436,4105.564129,4119.624436,4133.684729,4147.744998,4161.805235,4175.865392,4189.925358,4175.865391,4161.805234,4147.744998,4133.68473,4119.624436,4105.564129,4119.624436,4133.684729,4147.744999,4161.805234,4175.865391,4189.925357,4175.865391,4161.805234,4147.744999,4133.684729,4119.624436,4105.564129,4119.624436,4133.684729,4147.744999,4161.805234,4175.865391,4189.925358,4175.865392,4161.805234,4147.744999,4133.684729,4119.624436,4105.564129,4119.624436,4133.684728,4147.744999,4161.805235,4175.865391,4189.925357,4175.865392,4161.805234,4147.744998
19,12,15,,,5449.219927,5430.679995,5412.208509,5393.737047,5412.208509,5430.679995,5449.151521,5467.623123,5486.094878,5504.567025,5486.094879,5467.623123,5449.151521,5430.679995,5412.208509,5393.737043,5412.208509,5430.679995,5449.151522,5467.623122,5486.094878,5504.567025,5486.094879,5467.623122,5449.151521,5430.679995,5412.208509,5393.737047,5412.208509,5430.679995,5449.151522,5467.623122,5486.094878,5504.567027,5486.094878,5467.623122,5449.151522,5430.679995,5412.208509,5393.737047,5412.208509,5430.679995,5449.151521,5467.623122,5486.094878,5504.567028,5486.094879,5467.623124,5449.151522
21,16,17,,,1523.970067,1518.804066,1513.638063,1508.472066,1513.638064,1518.804066,1523.970068,1529.136065,1534.302065,1539.468065,1534.302065,1529.136066,1523.970068,1518.804066,1513.638063,1508.472066,1513.638065,1518.804066,1523.970067,1529.136065,1534.302065,1539.468065,1534.302064,1529.136066,1523.970067,1518.804066,1513.638063,1508.472066,1513.638065,1518.804066,1523.970068,1529.136066,1534.302065,1539.468065,1534.302065,1529.136066,1523.970068,1518.804066,1513.638063,1508.472066,1513.638065,1518.804066,1523.970067,1529.136066,1534.302065,1539.468067,1534.302066,1529.136066,1523.970068
22,18,17,,,7565.334485,7539.689293,7514.044101,7488.398884,7514.044101,7539.689293,7565.334485,7590.97969,7616.624894,7642.270091,7616.624894,7590.97969,7565.334485,7539.689293,7514.044101,7488.398884,7514.044101,7539.689293,7565.334485,7590.97969,7616.624894,7642.270094,7616.624894,7590.97969,7565.334485,7539.689293,7514.044101,7488.398884,7514.044101,7539.689293,7565.334485,7590.97969,7616.624894,7642.270094,7616.624894,7590.97969,7565.334485,7539.689293,7514.044101,7488.398884,7514.044101,7539.689293,7565.334485,7590.97969,7616.624894,7642.270095,7616.624894,7590.97969,7565.334485
23,15,18,,,4513.725109,4498.391678,4483.091098,4467.790535,4483.091098,4498.391678,4513.692275,4528.992911,4544.293624,4559.594538,4544.293625,4528.99291,4513.692275,4498.391678,4483.091098,4467.790535,4483.091098,4498.391678,4513.692275,4528.992909,4544.293625,4559.594538,4544.293625,4528.992909,4513.692275,4498.391678,4483.091098,4467.790535,4483.091098,4498.391678,4513.692275,4528.992909,4544.293625,4559.594538,4544.293624,4528.992909,4513.692275,4498.391678,4483.091098,4467.790535,4483.091098,4498.391678,4513.692276,4528.992912,4544.293624,4559.594539,4544.293625,4528.992912,4513.692275
24,19,18,,,6291.181439,6269.888069,6248.561841,6227.235608,6248.561841,6269.888069,6291.214271,6312.540437,6333.866521,6355.192408,6333.866521,6312.540437,6291.214275,6269.888069,6248.561841,6227.235608,6248.561841,6269.888069,6291.214271,6312.540437,6333.866521,6355.192409,6333.866521,6312.540437,6291.214271,6269.888069,6248.561841,6227.235608,6248.561841,6269.888069,6291.214275,6312.540437,6333.866521,6355.19241,6333.866521,6312.540437,6291.214275,6269.888069,6248.561841,6227.235608,6248.561841,6269.888069,6291.214271,6312.540437,6333.86652,6355.192409,6333.866521,6312.540437,6291.214275
25,14,19,,,1000.656744,997.289771,993.8972572,990.5047166,993.8972579,997.2897714,1000.682239,1004.074623,1007.466839,1010.858631,1007.466838,1004.074624,1000.682239,997.2897714,993.8972576,990.5047166,993.8972579,997.2897714,1000.682238,1004.074624,1007.46684,1010.85863,1007.46684,1004.074624,1000.682238,997.2897712,993.8972576,990.5047162,993.8972572,997.289771,1000.682238,1004.074623,1007.466839,1010.858631,1007.46684,1004.074624,1000.682238,997.2897714,993.8972581,990.5047157,993.8972576,997.2897723,1000.682239,1004.074624,1007.46684,1010.85863,1007.466839,1004.074623,1000.682239
26,20,19,,,8378.028766,8349.685352,8321.284616,8292.883825,8321.284616,8349.685352,8378.086021,8406.486571,8434.886873,8463.286548,8434.886874,8406.486572,8378.086021,8349.685352,8321.284612,8292.883825,8321.284616,8349.685352,8378.086023,8406.486572,8434.886874,8463.286549,8434.886874,8406.486572,8378.086021,8349.685352,8321.284612,8292.883825,8321.284616,8349.685352,8378.086023,8406.486571,8434.886873,8463.286551,8434.886874,8406.486572,8378.086021,8349.685353,8321.284612,8292.883825,8321.284612,8349.685352,8378.08602,8406.486572,8434.886873,8463.286551,8434.886874,8406.486572,8378.08602
27,21,20,,,1684.669405,1678.997144,1673.2868,1667.57652,1673.286801,1678.997144,1684.707595,1690.418231,1696.129252,1701.841243,1696.129253,1690.418232,1684.707595,1678.997144,1673.286801,1667.57652,1673.286801,1678.997144,1684.707595,1690.418232,1696.129253,1701.841243,1696.129253,1690.418233,1684.707595,1678.997144,1673.286801,1667.57652,1673.286801,1678.997144,1684.707595,1690.418233,1696.129252,1701.841242,1696.129252,1690.418233,1684.707595,1678.997144,1673.286801,1667.576519,1673.286801,1678.997144,1684.707595,1690.418232,1696.129253,1701.841244,1696.129252,1690.418233,1684.707595
28,11,21,,,6141.54572,6120.839964,6100.020338,6079.200651,6100.020338,6120.839964,6141.659486,6162.478829,6183.297801,6204.115833,6183.297801,6162.478829,6141.659486,6120.839964,6100.020338,6079.200649,6100.020338,6120.839964,6141.659486,6162.478829,6183.297802,6204.115834,6183.297801,6162.47883,6141.659486,6120.839964,6100.020338,6079.200649,6100.020338,6120.839964,6141.659486,6162.478829,6183.297801,6204.115834,6183.297801,6162.478829,6141.659486,6120.839964,6100.020338,6079.200649,6100.020338,6120.839964,6141.659486,6162.478829,6183.297801,6204.115835,6183.297801,6162.47883,6141.659486
