Source,Target,Weight,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
15,18,14.931845,14.881217,14.830625,14.779996,14.830625,14.881217,14.931846,14.982487,15.033115,15.083707,15.033115,14.982487,14.931846,14.881217,14.830625,14.779996,14.830625,14.881217,14.931846,14.982487,15.033115,15.083707,15.033115,14.982487,14.931846,14.881217,14.830625,14.779996,14.830625,14.881217,14.931846,14.982487,15.033115,15.083707,15.033115,14.982487,14.931846,14.881217,14.830625,14.779996,14.830625,14.881217,14.931846,14.982487,15.033115,15.083707,15.033115,14.982487,14.931846
19,18,-1.017352,-1.0138735,-1.0104216,-1.006973,-1.0104216,-1.0138735,-1.017322,-1.0207704,-1.0242189,-1.0276673,-1.0242189,-1.0207704,-1.017322,-1.0138735,-1.0104216,-1.006973,-1.0104216,-1.0138735,-1.017322,-1.0207704,-1.0242189,-1.0276673,-1.0242189,-1.0207704,-1.017322,-1.0138735,-1.0104216,-1.006973,-1.0104216,-1.0138735,-1.017322,-1.0207704,-1.0242189,-1.0276673,-1.0242189,-1.0207704,-1.017322,-1.0138735,-1.0104216,-1.006973,-1.0104216,-1.0138735,-1.017322,-1.0207704,-1.0242189,-1.0276673,-1.0242189,-1.0207704,-1.017322
14,19,-2.512411,-2.5038967,-2.4953759,-2.4868603,-2.4953759,-2.5038967,-2.512411,-2.520927,-2.5294464,-2.5379677,-2.5294464,-2.520927,-2.512411,-2.5038967,-2.4953759,-2.4868603,-2.4953759,-2.5038967,-2.512411,-2.520927,-2.5294464,-2.5379677,-2.5294464,-2.520927,-2.512411,-2.5038967,-2.4953759,-2.4868603,-2.4953759,-2.5038967,-2.512411,-2.520927,-2.5294464,-2.5379677,-2.5294464,-2.520927,-2.512411,-2.5038967,-2.4953759,-2.4868603,-2.4953759,-2.5038967,-2.512411,-2.520927,-2.5294464,-2.5379677,-2.5294464,-2.520927,-2.512411
20,19,-7.056935,-7.033011,-7.0090637,-6.98514,-7.0090637,-7.033011,-7.056935,-7.080859,-7.104783,-7.128707,-7.104783,-7.080859,-7.056935,-7.033011,-7.0090637,-6.98514,-7.0090637,-7.033011,-7.056935,-7.080859,-7.104783,-7.128707,-7.104783,-7.080859,-7.056935,-7.033011,-7.0090637,-6.98514,-7.0090637,-7.033011,-7.056935,-7.080859,-7.104783,-7.128707,-7.104783,-7.080859,-7.056935,-7.033011,-7.0090637,-6.98514,-7.0090637,-7.033011,-7.056935,-7.080859,-7.104783,-7.128707,-7.104783,-7.080859,-7.056935
21,20,-7.743629,-7.7173786,-7.691108,-7.664864,-7.691108,-7.7173786,-7.743629,-7.7698717,-7.7961226,-7.822393,-7.7961226,-7.7698717,-7.743629,-7.7173786,-7.691108,-7.664864,-7.691108,-7.7173786,-7.743629,-7.7698717,-7.7961226,-7.822393,-7.7961226,-7.7698717,-7.743629,-7.7173786,-7.691108,-7.664864,-7.691108,-7.7173786,-7.743629,-7.7698717,-7.7961226,-7.822393,-7.7961226,-7.7698717,-7.743629,-7.7173786,-7.691108,-7.664864,-7.691108,-7.7173786,-7.743629,-7.7698717,-7.7961226,-7.822393,-7.7961226,-7.7698717,-7.743629
11,21,-1.1373587,-1.1335061,-1.129649,-1.1257957,-1.129649,-1.1335061,-1.1373615,-1.1412154,-1.1450725,-1.1489264,-1.1450725,-1.1412154,-1.1373615,-1.1335061,-1.129649,-1.1257957,-1.129649,-1.1335061,-1.1373615,-1.1412154,-1.1450725,-1.1489264,-1.1450725,-1.1412154,-1.1373615,-1.1335061,-1.129649,-1.1257957,-1.129649,-1.1335061,-1.1373615,-1.1412154,-1.1450725,-1.1489264,-1.1450725,-1.1412154,-1.1373615,-1.1335061,-1.129649,-1.1257957,-1.129649,-1.1335061,-1.1373615,-1.1412154,-1.1450725,-1.1489264,-1.1450725,-1.1412154,-1.1373615
22,21,-3.8816159,-3.8684492,-3.8552985,-3.8421326,-3.8552985,-3.8684492,-3.8816159,-3.8947692,-3.907923,-3.9210892,-3.907923,-3.8947692,-3.8816159,-3.8684492,-3.8552985,-3.8421326,-3.8552985,-3.8684492,-3.8816159,-3.8947692,-3.907923,-3.9210892,-3.907923,-3.8947692,-3.8816159,-3.8684492,-3.8552985,-3.8421326,-3.8552985,-3.8684492,-3.8816159,-3.8947692,-3.907923,-3.9210892,-3.907923,-3.8947692,-3.8816159,-3.8684492,-3.8552985,-3.8421326,-3.8552985,-3.8684492,-3.8816159,-3.8947692,-3.907923,-3.9210892,-3.907923,-3.8947692,-3.8816159
22,9,-8.50962,-8.480784,-8.45192,-8.423084,-8.45192,-8.480784,-8.50962,-8.538455,-8.567321,-8.596156,-8.567321,-8.538455,-8.50962,-8.480784,-8.45192,-8.423084,-8.45192,-8.480784,-8.50962,-8.538455,-8.567321,-8.596156,-8.567321,-8.538455,-8.50962,-8.480784,-8.45192,-8.423084,-8.45192,-8.480784,-8.50962,-8.538455,-8.567321,-8.596156,-8.567321,-8.538455,-8.50962,-8.480784,-8.45192,-8.423084,-8.45192,-8.480784,-8.50962,-8.538455,-8.567321,-8.596156,-8.567321,-8.538455,-8.50962
23,22,-23.733772,-23.653315,-23.57283,-23.49238,-23.57283,-23.653315,-23.733774,-23.814224,-23.894709,-23.975166,-23.894709,-23.814224,-23.733774,-23.653315,-23.57283,-23.49238,-23.57283,-23.653315,-23.733774,-23.814224,-23.894709,-23.975166,-23.894709,-23.814224,-23.733774,-23.653315,-23.57283,-23.49238,-23.57283,-23.653315,-23.733774,-23.814224,-23.894709,-23.975166,-23.894709,-23.814224,-23.733774,-23.653315,-23.57283,-23.49238,-23.57283,-23.653315,-23.733774,-23.814224,-23.894709,-23.975166,-23.894709,-23.814224,-23.733774
8,23,-1.4295496,-1.424683,-1.4198371,-1.414993,-1.4198371,-1.424683,-1.4295311,-1.4343729,-1.4392189,-1.444067,-1.4392189,-1.4343729,-1.4295311,-1.424683,-1.4198371,-1.414993,-1.4198371,-1.424683,-1.4295311,-1.4343729,-1.4392189,-1.444067,-1.4392189,-1.4343729,-1.4295311,-1.424683,-1.4198371,-1.414993,-1.4198371,-1.424683,-1.4295311,-1.4343729,-1.4392189,-1.444067,-1.4392189,-1.4343729,-1.4295311,-1.424683,-1.4198371,-1.414993,-1.4198371,-1.424683,-1.4295311,-1.4343729,-1.4392189,-1.444067,-1.4392189,-1.4343729,-1.4295311
24,23,-13.9876,-13.940184,-13.892767,-13.84535,-13.892767,-13.940184,-13.9876,-14.035015,-14.082432,-14.1298485,-14.082432,-14.035015,-13.9876,-13.940184,-13.892767,-13.84535,-13.892767,-13.940184,-13.9876,-14.035015,-14.082432,-14.1298485,-14.082432,-14.035015,-13.9876,-13.940184,-13.892767,-13.84535,-13.892767,-13.940184,-13.9876,-14.035015,-14.082432,-14.1298485,-14.082432,-14.035015,-13.9876,-13.940184,-13.892767,-13.84535,-13.892767,-13.940184,-13.9876,-14.035015,-14.082432,-14.1298485,-14.082432,-14.035015,-13.9876
6,24,-6.840329,-6.8171315,-6.79395,-6.770776,-6.79395,-6.8171315,-6.8403273,-6.8635106,-6.886684,-6.909866,-6.886684,-6.8635106,-6.8403273,-6.8171315,-6.79395,-6.770776,-6.79395,-6.8171315,-6.8403273,-6.8635106,-6.886684,-6.909866,-6.886684,-6.8635106,-6.8403273,-6.8171315,-6.79395,-6.770776,-6.79395,-6.8171315,-6.8403273,-6.8635106,-6.886684,-6.909866,-6.886684,-6.8635106,-6.8403273,-6.8171315,-6.79395,-6.770776,-6.79395,-6.8171315,-6.8403273,-6.8635106,-6.886684,-6.909866,-6.886684,-6.8635106,-6.8403273
