Source,Target,Weight,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
9,10,0.074257694,0.07400595,0.07375419,0.07350243,0.07375419,0.07400595,0.07425771,0.074509464,0.07476123,0.07501298,0.07476123,0.074509464,0.07425771,0.07400595,0.07375419,0.07350243,0.07375419,0.07400595,0.07425771,0.074509464,0.07476123,0.07501298,0.07476123,0.074509464,0.07425771,0.07400595,0.07375419,0.07350243,0.07375419,0.07400595,0.07425771,0.074509464,0.07476123,0.07501298,0.07476123,0.074509464,0.07425771,0.07400595,0.07375419,0.07350243,0.07375419,0.07400595,0.07425771,0.074509464,0.07476123,0.07501298,0.07476123,0.074509464,0.07425771
10,12,-0.010110231,-0.010076058,-0.010041791,-0.010007525,-0.010041791,-0.010076058,-0.010110326,-0.010144596,-0.010178869,-0.01021315,-0.010178869,-0.010144596,-0.010110326,-0.010076058,-0.010041791,-0.010007525,-0.010041791,-0.010076058,-0.010110326,-0.010144596,-0.010178869,-0.01021315,-0.010178869,-0.010144596,-0.010110326,-0.010076058,-0.010041791,-0.010007525,-0.010041791,-0.010076058,-0.010110326,-0.010144596,-0.010178869,-0.01021315,-0.010178869,-0.010144596,-0.010110326,-0.010076058,-0.010041791,-0.010007525,-0.010041791,-0.010076058,-0.010110326,-0.010144596,-0.010178869,-0.01021315,-0.010178869,-0.010144596,-0.010110326
9,11,-0.001493089,-0.001488027,-0.001482968,-0.001477908,-0.001482968,-0.001488027,-0.001493087,-0.001498148,-0.00150321,-0.001508274,-0.00150321,-0.001498148,-0.001493087,-0.001488027,-0.001482968,-0.001477908,-0.001482968,-0.001488027,-0.001493087,-0.001498148,-0.00150321,-0.001508274,-0.00150321,-0.001498148,-0.001493087,-0.001488027,-0.001482968,-0.001477908,-0.001482968,-0.001488027,-0.001493087,-0.001498148,-0.00150321,-0.001508274,-0.00150321,-0.001498148,-0.001493087,-0.001488027,-0.001482968,-0.001477908,-0.001482968,-0.001488027,-0.001493087,-0.001498148,-0.00150321,-0.001508274,-0.00150321,-0.001498148,-0.001493087
12,11,-0.006669628,-0.00664702,-0.006624416,-0.006601811,-0.006624416,-0.00664702,-0.006669625,-0.006692231,-0.00671484,-0.006737454,-0.00671484,-0.006692231,-0.006669625,-0.00664702,-0.006624416,-0.006601811,-0.006624416,-0.00664702,-0.006669625,-0.006692231,-0.00671484,-0.006737454,-0.00671484,-0.006692231,-0.006669625,-0.00664702,-0.006624416,-0.006601811,-0.006624416,-0.00664702,-0.006669625,-0.006692231,-0.00671484,-0.006737454,-0.00671484,-0.006692231,-0.006669625,-0.00664702,-0.006624416,-0.006601811,-0.006624416,-0.00664702,-0.006669625,-0.006692231,-0.00671484,-0.006737454,-0.00671484,-0.006692231,-0.006669625
11,14,-0.012701394,-0.01265834,-0.01261529,-0.012572239,-0.01261529,-0.01265834,-0.012701392,-0.012744444,-0.0127875,-0.012830561,-0.0127875,-0.012744444,-0.012701392,-0.01265834,-0.01261529,-0.012572239,-0.01261529,-0.01265834,-0.012701392,-0.012744444,-0.0127875,-0.012830561,-0.0127875,-0.012744444,-0.012701392,-0.01265834,-0.01261529,-0.012572239,-0.01261529,-0.01265834,-0.012701392,-0.012744444,-0.0127875,-0.012830561,-0.0127875,-0.012744444,-0.012701392,-0.01265834,-0.01261529,-0.012572239,-0.01261529,-0.01265834,-0.012701392,-0.012744444,-0.0127875,-0.012830561,-0.0127875,-0.012744444,-0.012701392
80,13,-0.054840233,-0.054654323,-0.05446841,-0.054282494,-0.05446841,-0.054654323,-0.054840237,-0.055026155,-0.05521207,-0.05539799,-0.05521207,-0.055026155,-0.054840237,-0.054654323,-0.05446841,-0.054282494,-0.05446841,-0.054654323,-0.054840237,-0.055026155,-0.05521207,-0.05539799,-0.05521207,-0.055026155,-0.054840237,-0.054654323,-0.05446841,-0.054282494,-0.05446841,-0.054654323,-0.054840237,-0.055026155,-0.05521207,-0.05539799,-0.05521207,-0.055026155,-0.054840237,-0.054654323,-0.05446841,-0.054282494,-0.05446841,-0.054654323,-0.054840237,-0.055026155,-0.05521207,-0.05539799,-0.05521207,-0.055026155,-0.054840237
14,15,0.018855002,0.01879108,0.018727155,0.018663231,0.018727155,0.01879108,0.018855006,0.01891893,0.018982854,0.01904678,0.018982854,0.01891893,0.018855006,0.01879108,0.018727155,0.018663231,0.018727155,0.01879108,0.018855006,0.01891893,0.018982854,0.01904678,0.018982854,0.01891893,0.018855006,0.01879108,0.018727155,0.018663231,0.018727155,0.01879108,0.018855006,0.01891893,0.018982854,0.01904678,0.018982854,0.01891893,0.018855006,0.01879108,0.018727155,0.018663231,0.018727155,0.01879108,0.018855006,0.01891893,0.018982854,0.01904678,0.018982854,0.01891893,0.018855006
12,15,0.024849381,0.024765136,0.024680886,0.024596637,0.024680886,0.024765136,0.024849385,0.024933634,0.025017885,0.025102135,0.025017885,0.024933634,0.024849385,0.024765136,0.024680886,0.024596637,0.024680886,0.024765136,0.024849385,0.024933634,0.025017885,0.025102135,0.025017885,0.024933634,0.024849385,0.024765136,0.024680886,0.024596637,0.024680886,0.024765136,0.024849385,0.024933634,0.025017885,0.025102135,0.025017885,0.024933634,0.024849385,0.024765136,0.024680886,0.024596637,0.024680886,0.024765136,0.024849385,0.024933634,0.025017885,0.025102135,0.025017885,0.024933634,0.024849385
16,17,-0.004906377,-0.004861634,-0.004844975,-0.004828439,-0.004844975,-0.00486151,-0.004878047,-0.004894582,-0.004911118,-0.004927653,-0.004911118,-0.004894582,-0.004878047,-0.00486151,-0.004844975,-0.004828439,-0.004844975,-0.00486151,-0.004878047,-0.004894582,-0.004911118,-0.004927653,-0.004911118,-0.004894582,-0.004878047,-0.00486151,-0.004844975,-0.004828439,-0.004844975,-0.00486151,-0.004878047,-0.004894582,-0.004911118,-0.004927654,-0.004911118,-0.004894582,-0.004878047,-0.00486151,-0.004844975,-0.004828439,-0.004844975,-0.00486151,-0.004878047,-0.004894582,-0.004911118,-0.004927654,-0.004911118,-0.004894582,-0.004878047
18,17,-0.07181788,-0.07157442,-0.07133094,-0.07108747,-0.07133094,-0.07157442,-0.07181789,-0.07206137,-0.07230484,-0.072548315,-0.07230484,-0.07206137,-0.07181789,-0.07157442,-0.07133094,-0.07108747,-0.07133094,-0.07157442,-0.07181789,-0.07206137,-0.07230484,-0.072548315,-0.07230484,-0.07206137,-0.07181789,-0.07157442,-0.07133094,-0.07108747,-0.07133094,-0.07157442,-0.07181789,-0.07206137,-0.07230484,-0.072548315,-0.07230484,-0.07206137,-0.07181789,-0.07157442,-0.07133094,-0.07108747,-0.07133094,-0.07157442,-0.07181789,-0.07206137,-0.07230484,-0.072548315,-0.07230484,-0.07206137,-0.07181789
