,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
10,-11.706999,-11.706905,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896,-11.706896
11,-11.443737,-11.443644,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634,-11.443634
12,-11.383984,-11.38389,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881,-11.383881
13,-11.030537,-11.030445,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437,-11.030437
14,-10.943825,-10.943733,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724,-10.943724
15,-9.4947815,-9.494705,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694,-9.494694
16,-8.778378,-8.778294,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286,-8.778286
17,-7.6013947,-7.6013145,-7.6013145,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307,-7.601307
18,-8.428436,-8.428352,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341,-8.428341
19,-8.72485,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477,-8.72477
20,-8.252796,-8.252724,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716,-8.252716
21,-8.21843,-8.218346,-8.218346,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338,-8.218338
22,-13.187708,-13.187643,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335,-13.1876335
23,-13.718567,-13.71851,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185,-13.7185
24,-13.848831,-13.848764,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757,-13.848757
