,ID,Diff1,Diff2,Diff3,Diff4,Diff5,Diff6,Diff7,Diff8,Diff9,Diff10,Diff11,Diff12,Diff13,Diff14,Diff15,Diff16,Diff17,Diff18,Diff19,Diff20,Diff21,Diff22,Diff23,Diff24,Diff25,Diff26,Diff27,Diff28,Diff29,Diff30
13,14,-0.2541999999999973,-0.5296099999999981,-0.5296099999999981,-0.010269999999998449,-0.06244000000000228,-0.08521000000000356,-0.08869999999999577,-0.24117999999999995,-0.0990499999999983,-0.09539999999999793,-0.5048299999999983,-0.10246999999999673,-0.9412699999999958,-0.9283100000000032,-0.4963400000000036,-0.487639999999999,-0.36247000000000185,-0.4796699999999987,-0.4674699999999987,-0.04977999999999838,-0.0623599999999982,-0.9154399999999968,-0.8731700000000018,-0.4094999999999942,-0.09637000000000027,-0.0962200000000024,-0.0955499999999958,-0.0964400000000012,-0.09056000000000353,-0.2346299999999957
14,15,-0.25322999999999496,-0.5271499999999989,-0.5271499999999989,-0.010639999999995098,-0.06451999999999458,-0.08810999999999325,-0.09167999999999664,-0.2407299999999992,-0.10930999999999358,-0.10521999999999564,-0.7423500000000018,-0.1148899999999955,-0.5028199999999927,-0.4917299999999969,-0.7311199999999971,-0.7182399999999944,-0.43658999999999537,-0.4780399999999929,-0.4658299999999969,-0.05141999999999314,-0.06443999999999761,-0.4891999999999968,-0.4667999999999992,-0.4080899999999943,-0.10625999999999892,-0.10075999999999397,-0.10008999999999446,-0.10105000000000076,-0.09390999999999394,-0.23425999999999905
15,16,-0.25322999999999496,-0.527079999999998,-0.527079999999998,-0.0105700000000013,-0.06452000000000169,-0.08802999999999628,-0.09161000000000286,-0.2407299999999992,-0.10923999999999978,-0.10515000000000184,-0.7422900000000041,-0.11482999999999775,-0.5027499999999989,-0.4916600000000031,-0.7310499999999962,-0.7224900000000005,-0.4365900000000025,-0.4779699999999991,-0.4658299999999969,-0.05142999999999631,-0.06437000000000381,-0.4891299999999959,-0.4667299999999983,-0.4080200000000005,-0.10627000000000207,-0.10076000000000107,-0.10002000000000066,-0.10099000000000302,-0.09384000000000016,-0.2341899999999981
16,17,-0.2537499999999966,-0.5284899999999908,-0.5284899999999908,-0.010419999999989216,-0.06340999999999752,-0.08654999999999546,-0.09003999999999479,-0.24102999999999494,-0.10358999999998986,-0.0997899999999916,-0.6103499999999968,-0.10797999999999773,-0.5041599999999917,-0.492999999999995,-0.6006,-0.5901099999999957,-24.033809999999995,-0.6096000000000004,-0.5940499999999957,-0.050529999999994864,-0.06325999999999254,-0.4904699999999949,-0.4679999999999964,-0.5201599999999971,-0.10075999999999397,-0.09822999999999382,-0.09755999999999433,-0.0984499999999997,-0.0920499999999933,-0.2344799999999978
17,18,-0.25412000000000035,-0.5295300000000083,-0.5295300000000083,-0.010190000000001477,-0.0623600000000053,-0.08520000000000039,-0.08862000000000593,-0.2411700000000039,-0.0990499999999983,-0.09540000000000504,-0.5054200000000009,-0.10247000000000384,-0.5051200000000051,-0.4939600000000084,-0.4969300000000061,-0.4882300000000086,-0.4594300000000047,-0.9880700000000004,-0.962690000000002,-0.04971000000000458,-0.06228000000000832,-0.4914300000000082,-0.4689600000000027,-0.8425100000000043,-0.09629000000000333,-0.09614000000000544,-0.09547000000000594,-0.09636000000000422,-0.09049000000000262,-0.2346300000000028
18,19,-0.25411999999999324,-0.5295300000000012,-0.5295300000000012,-0.01018999999999437,-0.0623599999999982,-0.08520000000000039,-0.08863000000000197,-0.2411699999999968,-0.09903999999999513,-0.09539999999999793,-0.5054199999999938,-0.10246999999999673,-0.505119999999998,-0.4939599999999942,-0.4969399999999951,-0.4882300000000015,-0.4594299999999976,-0.9880699999999932,-1.0245299999999986,-0.04970999999999748,-0.06228000000000122,-0.4914300000000011,-0.4689599999999956,-0.8960899999999938,-0.09635999999999713,-0.09613999999999834,-0.09546999999999173,-0.09635999999999713,-0.09047999999999944,-0.2346299999999957
19,20,-0.06257999999999697,-0.0624299999999991,-0.0624299999999991,-0.08319999999999794,-0.5107100000000031,-0.4592900000000029,-0.45214,-0.11274000000000227,-0.4243099999999984,-0.4082399999999993,-0.062289999999997285,-0.4165700000000001,-0.0595299999999952,-0.05818999999999619,-0.06123999999999796,-0.0601999999999947,-0.04346000000000316,-0.0565599999999975,-0.05507000000000062,-15.081049999999998,-0.5625,-0.057890000000000434,-0.0552899999999994,-0.0482200000000006,-0.4124100000000013,-0.4750599999999992,-0.4716400000000007,-0.4761799999999994,-0.4580199999999977,-0.10969000000000052
20,21,-0.06266000000000105,-0.06251000000000317,-0.06251000000000317,-0.08327000000000595,-0.5107800000000039,-0.4592799999999997,-0.4522200000000041,-0.1128100000000032,-0.4243799999999993,-0.4083100000000002,-0.0623599999999982,-0.4166400000000081,-0.059609999999999275,-0.05827000000000738,-0.06132000000000204,-0.060200000000001815,-0.04346000000000316,-0.0566299999999984,-0.055140000000008633,-0.44745000000000346,-0.5625,-0.057970000000004525,-0.0552900000000065,-0.048300000000004666,-0.4124800000000022,-0.4751300000000001,-0.4716400000000078,-0.4762500000000003,-0.4580900000000057,-0.1096900000000076
21,22,-0.25412000000000745,-0.5296000000000021,-0.5296000000000021,-0.01027000000000555,-0.0624300000000062,-0.08520000000000039,-0.08870000000000289,-0.2411700000000039,-0.09904000000000224,-0.09539000000000186,-0.5048200000000023,-0.10246000000000777,-0.94118000000001,-0.920270000000002,-0.4963400000000036,-0.48763000000001,-0.3624600000000058,-0.4796700000000058,-0.4673900000000089,-0.04970000000000141,-0.0623600000000053,-0.9699100000000058,-0.9245900000000021,-0.4094200000000043,-0.09636000000000422,-0.09621000000000636,-0.09547000000000594,-0.0964400000000083,-0.09048000000000657,-0.2346200000000067
22,23,-0.25411999999999324,-0.5296099999999981,-0.5296099999999981,-0.010269999999998449,-0.0624299999999991,-0.08520000000000039,-0.08870000000000289,-0.24117999999999995,-0.09903999999999513,-0.09539999999999793,-0.5047500000000014,-0.10238999999999976,-0.9411899999999987,-0.9202799999999982,-0.4963399999999965,-0.487639999999999,-0.3624699999999947,-0.4796000000000049,-0.4674000000000049,-0.04970999999999748,-0.062289999999997285,-0.96969,-0.9467,-0.4094300000000004,-0.09637000000000027,-0.09621999999999532,-0.09546999999999883,-0.0964400000000012,-0.09048999999999552,-0.2346300000000028
23,24,-0.2542000000000009,-0.5295999999999985,-0.5295999999999985,-0.010270000000001998,-0.06243000000000265,-0.08528000000000446,-0.08869999999999932,-0.24117000000000036,-0.0991199999999992,-0.09539999999999793,-0.5054200000000009,-0.10247000000000027,-0.5051200000000016,-0.4940300000000058,-0.4970100000000031,-0.4882999999999989,-0.4594300000000047,-0.9881400000000014,-1.0242300000000029,-0.049780000000005487,-0.06236000000000175,-0.4914300000000047,-0.4689600000000027,-0.9868800000000028,-0.09636000000000422,-0.09621999999999886,-0.09554999999999936,-0.0964400000000012,-0.09056000000000353,-0.2347000000000001
24,25,-0.09436000000000178,-0.10320999999999714,-0.10320999999999714,-0.07128999999999762,-0.43807999999999936,-0.6003699999999981,-0.625150000000005,-0.16288999999999731,-2.0104499999999987,-1.9327600000000016,-0.11155000000000116,-1.9710800000000008,-0.0984499999999997,-0.0962899999999962,-0.10969000000000052,-0.10782999999999987,-0.07412000000000063,-0.09353999999999728,-0.09116000000000213,-0.3484100000000012,-0.4374099999999999,-0.09576999999999458,-0.0913800000000009,-0.07985000000000042,-1.9818699999999936,-0.927419999999998,-0.9206500000000021,-0.9296500000000024,-0.6965099999999964,-0.15834999999999866
25,26,-0.08990000000000009,-0.0913099999999929,-0.0913099999999929,-0.07292999999999239,-0.4482699999999937,-0.6142099999999928,-0.6395899999999912,-0.16065999999999292,-0.8469099999999941,-0.8147599999999926,-0.09256999999999492,-0.8311299999999875,-0.08706999999998999,-0.08512999999999238,-0.09100999999999716,-0.08944999999999936,-0.06392999999999205,-0.0826799999999892,-0.08058999999998663,-0.3565199999999962,-0.4476000000000013,-0.08467999999999165,-0.08081999999999567,-0.07054999999999723,-0.8230999999999966,-0.9496699999999904,-0.9427599999999928,-0.9519799999999918,-0.7127399999999895,-0.15626999999999214
