Id,latitude,longitude,Weight
268,53.87639,119.863276,33180.714
269,54.00133,119.212856,34062.207
271,54.225051,117.920327,35159.758
270,54.930942,118.266318,35061.845
318,44.542836,111.47431,46706.748
317,44.894654,112.036934,46814.743
316,45.92936,112.059273,46546.93
315,45.909965,112.959055,46068.305
313,46.222091,113.813641,43863.073
314,44.972686,113.790783,43707.5
312,46.456636,114.668226,37872.63
310,46.749367,115.56749,32193.96
311,46.551357,116.521301,32088.74
309,47.514797,116.151413,27989.534
297,48.174681,116.399736,25005.338
298,48.936503,116.084916,25171.784
299,49.502569,114.960188,25005.218
296,48.018618,117.141589,21400.848
294,47.862556,117.996695,15029.281
293,47.830982,118.977,13334.452
291,48.80615,119.373383,15985.794
295,48.389381,117.816426,21280.055
288,49.866566,119.703788,22237.934
289,49.893177,118.760886,21574.908
290,49.873782,118.176443,21239.91
282,50.78445,120.298101,26195.002
277,51.701883,119.86899,28436.41
278,52.509712,118.918296,25271.365
279,52.529107,117.794088,23414.032
280,52.236376,116.826769,22716.458
281,51.689254,116.804431,22641.404
272,55.314334,116.995609,34958.428
273,53.565166,117.590442,34885.243
264,56.003085,120.391093,29981.23
257001,56.523145,120.557334,27745.515
258001,57.349917,120.79319,25994.763
259001,56.754082,122.187541,25701.913
260001,55.085201,120.166147,30989.27
261,57.124393,118.764523,28673.023
262,56.046837,118.020072,28744.408
263,56.693641,117.026779,28307.453
255,62.654252,122.34547,18343.894
258,60.790518,122.444696,17543.575
259,59.242518,122.411447,17273.328
260,57.923651,122.34547,17199.208
256,63.084101,122.741853,18183.652
257,63.628968,123.336166,17989.643
254,62.683119,121.156843,15607.58
250004,64.467919,122.520544,2585.9673
421,65.206286,125.176253,4998.4325
420,66.524251,125.37834,3762.947
419,67.344258,125.513411,2740.3828
418,68.516082,125.749786,-109.0716
416,69.424044,125.918106,-1164.604
417,70.245855,126.946206,-1525.1036
415,68.838131,123.793331,714.2221
414,67.819663,123.5315,1445.9598
413,66.573415,122.966279,1737.6712
250001,68.310855,122.274818,2345.1094
21,43.227127,106.024703,99447.656
319,47.271682,111.883161,47172.758
320,47.711454,112.371495,46974.793
20,44.281679,107.036699,98651.42
19,44.906832,103.25834,99893.98
18,46.598266,101.045768,100000
302,48.433583,114.933694,18615.337
303,48.751573,114.168463,16927.749
305,49.024006,112.880091,15009.436
306,49.90716,113.669219,14538.091
307,50.138097,113.169974,14495.996
321,48.029444,112.737746,46687.445
11,46.167965,100.220275,99758.035
322,48.248202,110.569333,47090.238
323,48.218884,109.253427,47316.468
301,51.496205,111.739258,10333.346
300,51.871478,110.574528,10123.772
324,49.608566,111.513793,44393.72
368,50.138097,110.541279,37956.876
367,50.513821,110.940779,37796.628
369,50.889544,111.340278,37717.018
325,55.859201,113.561161,10182.937
365,54.282334,114.188723,9150.6645
362,54.196184,112.273309,8118.976
360001,54.240837,109.809297,6064.7197
360,54.356306,109.044066,5879.327
359,54.471774,108.37858,5825.334
361,54.177691,110.816617,8051.1816
366,52.84845,111.678995,10376.491
364,53.142984,110.674792,10121.953
363,53.373921,109.310053,9992.006
326,55.343201,112.405783,11384.626
327,55.85875,112.437992,11485.2965
328,55.887617,111.606264,11277.912
329,55.916484,110.674792,10797.249
330,56.956603,113.270239,12218.325
334,58.11219,112.737746,14685.304
336,59.299801,113.660387,23863.946
331,53.9666,115.410599,33352.783
332,54.110033,116.004913,33022.627
333,56.6332,114.684331,25907.06
337,61.908668,112.669691,22247.8
338,62.086832,114.415228,19606.186
340,62.233423,116.776377,17703.953
341,62.321378,118.108908,15488.099
250,62.555472,119.947436,11513.422
251,61.851385,119.934967,11794.959
253,59.873084,119.637811,11201.5076
252,60.962818,119.803013,11248.198
342,61.622252,118.184755,15760.247
343,60.790518,118.184755,15559.141
344,59.905109,117.906301,14427.914
339,60.532518,114.750308,19381.058
250003,63.832391,119.8586,9382.131
250002,64.987978,119.825352,8310.162
412,67.049272,118.63101,4961.9388
411,66.436296,117.029376,5747.831
410,65.616289,114.904082,10132.5
409,64.942873,113.52116,10779.33
408,64.005594,111.429633,15187.797
407001,62.98036,107.921416,19767.608
407,61.105801,105.762353,19864.395
345,61.765234,111.216636,19123.384
346,60.819385,110.589593,20005.627
347,59.672368,110.093986,20828.356
348,58.52535,109.499672,20564.403
349,57.436067,109.301221,20518.637
