Id,Source,Target,Weight,Unnamed: 4,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
13,10,12,0.010279316,,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414,0.010279414
14,9,11,0.001517574,,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573,0.001517573
15,12,11,0.006780637,,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637,0.006780637
16,11,14,0.012914637,,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637,0.012914637
17,80,13,0.055774223,,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223,0.055774223
18,14,15,0.01917751,,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751,-0.01917751
19,12,15,0.025274927,,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927,-0.025274927
21,16,17,0.00498907,,0.004960849,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725,0.004960725
22,18,17,0.07304244,,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244,0.07304244
23,15,18,0.13439687,,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687,-0.13439687
