,Unnamed: 0_x,Id,Source,Target,Unnamed: 0_y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
10,10,12.0,9.0,10.0,21,3776.846765249502,3763.903820654377,3751.078352797777,3738.254649506416,3751.078352797777,3763.9038197812624,3776.7319951672107,3789.564703765791,3802.4059832969215,3815.2669921692,3802.4059806775767,3789.564702019561,3776.731996040325,3763.903820654377,3751.078352797777,3738.254649506416,3751.078351924661,3763.903820654377,3776.7319951672107,3789.564703765791,3802.405983733479,3815.266991732642,3802.4059811141337,3789.564702019561,3776.731996040325,3763.903818908148,3751.078352797777,3738.254649506416,3751.078351924661,3763.9038197812624,3776.7319951672107,3789.564703765791,3802.4059854797088,3815.2669921692,3802.4059802410193,3789.564702019561,3776.7319951672107,3763.9038197812624,3751.078351924661,3738.254649506416,3751.078351924661,3763.903820654377,3776.731996040325,3789.564702019561,3802.4059841700373,3815.266991296085,3802.4059798044623,3789.564702019561,3776.731996040325
11,11,13.0,10.0,12.0,29,5312.836655066349,5294.739460805431,5276.723853894509,5258.709699846804,5276.723853894509,5294.739460805431,5312.7573753590705,5330.779225041624,5348.808690469014,5366.8561538506765,5348.808687849669,5330.779225041624,5312.7573753590705,5294.739460805431,5276.723853894509,5258.709699846804,5276.723853894509,5294.739460805431,5312.7573753590705,5330.779225041624,5348.808691342128,5366.8561538506765,5348.808686976554,5330.779225914739,5312.757374485956,5294.739462551661,5276.72385214828,5258.709699846804,5276.72385040205,5294.739460805431,5312.7573753590705,5330.779225914739,5348.808690469014,5366.856155160349,5348.808687849669,5330.779225041624,5312.757374485956,5294.739460805431,5276.72385214828,5258.709699846804,5276.72385214828,5294.739460805431,5312.7573753590705,5330.779226787854,5348.808691342128,5366.856154287234,5348.808687849669,5330.779225041624,5312.7573753590705
12,12,14.0,9.0,11.0,39,6475.297483848408,6453.256721142679,6431.305753067136,6409.353833296335,6431.305751320906,6453.256721142679,6475.206180475652,6497.152975935023,6519.094486429822,6541.022945602889,6519.094489922281,6497.152975935023,6475.206180475652,6453.256721142679,6431.305751320906,6409.353833296335,6431.305751320906,6453.256721142679,6475.206180475652,6497.1529741887925,6519.094486429822,6541.022945602889,6519.094488176052,6497.152975935023,6475.206180475652,6453.256721142679,6431.305751320906,6409.353833296335,6431.305753067136,6453.256721142679,6475.206180475652,6497.1529741887925,6519.094486429822,6541.022945602889,6519.094489049166,6497.1529741887925,6475.206180475652,6453.256721142679,6431.305751320906,6409.353833296335,6431.305751320906,6453.256721142679,6475.206180475652,6497.1529741887925,6519.094487302937,6541.022945602889,6519.094489922281,6497.1529741887925,6475.206180475652
13,13,15.0,12.0,11.0,50,2883.902145404136,2874.141416104976,2864.3666274729185,2854.590601637028,2864.3666274729185,2874.141415231861,2883.9142301876564,2893.6836565844715,2903.4464835422114,2913.1935961777344,2903.446485288441,2893.6836565844715,2883.914231933886,2874.141415231861,2864.3666274729185,2854.590601637028,2864.3666274729185,2874.141415231861,2883.914231933886,2893.6836565844715,2903.446483978769,2913.193595959456,2903.446485288441,2893.6836565844715,2883.9142310607713,2874.141415231861,2864.3666274729185,2854.590601637028,2864.366628346033,2874.141415231861,2883.9142301876564,2893.683656147914,2903.4464835422114,2913.193596396013,2903.446484851884,2893.6836565844715,2883.9142301876564,2874.141415231861,2864.366628346033,2854.590601637028,2864.3666274729185,2874.141415231861,2883.9142301876564,2893.6836565844715,2903.4464835422114,2913.193595741177,2903.446485288441,2893.6836565844715,2883.9142310607713
14,14,16.0,11.0,14.0,61,5430.354833370075,5411.955314339139,5393.542204401457,5375.128663145006,5393.542204401457,5411.955314339139,5430.367738881614,5448.778955033049,5467.187736940105,5485.590403113747,5467.187739559449,5448.778954159934,5430.367738008499,5411.955314339139,5393.542204401457,5375.1286648912355,5393.542204401457,5411.955314339139,5430.367738881614,5448.778955906164,5467.18773606699,5485.590403986862,5467.187740432564,5448.778955906164,5430.367738881614,5411.955314339139,5393.542204401457,5375.128663145006,5393.542204401457,5411.955314339139,5430.367739754729,5448.778954159934,5467.18773606699,5485.590404423419,5467.187739559449,5448.778955906164,5430.367738008499,5411.955314339139,5393.542204401457,5375.128663145006,5393.542204401457,5411.955314339139,5430.367739754729,5448.778955033049,5467.18773606699,5485.590403986862,5467.187739559449,5448.778955906164,5430.367739754729
15,15,17.0,80.0,13.0,72,14720.310143893585,14670.405444921926,14620.493918191643,14570.582084124908,14620.493914699182,14670.405444921926,14720.316430320965,14770.226425607689,14820.134358596988,14870.036928914487,14820.134358596988,14770.226425607689,14720.316430320965,14670.405444921926,14620.493914699182,14570.582084124908,14620.493914699182,14670.405444921926,14720.316430320965,14770.226425607689,14820.134358596988,14870.036927168258,14820.134358596988,14770.226429100148,14720.316430320965,14670.405444921926,14620.493918191643,14570.582084124908,14620.493918191643,14670.405444921926,14720.316430320965,14770.226425607689,14820.134358596988,14870.036927168258,14820.134358596988,14770.226429100148,14720.316430320965,14670.405444921926,14620.493914699182,14570.582084124908,14620.493914699182,14670.405444921926,14720.316430320965,14770.226425607689,14820.134358596988,14870.036927168258,14820.134358596988,14770.226425607689,14720.316430320965
16,16,18.0,14.0,15.0,83,4147.519773105159,4133.491144166328,4119.427846453618,4105.365283903666,4119.427848199848,4133.491144166328,4147.555587405805,4161.622001265641,4175.692249846179,4189.771732708323,4175.692247663392,4161.622000392526,4147.555587405805,4133.491145039443,4119.427845580503,4105.365285649897,4119.427848199848,4133.491145039443,4147.555587405805,4161.622001265641,4175.692249846179,4189.771732053487,4175.692247226834,4161.622000392526,4147.555587405805,4133.491145039443,4119.427848199848,4105.365283903666,4119.427846453618,4133.491145039443,4147.555587405805,4161.622001265641,4175.6922494096225,4189.7717329266015,4175.692247663392,4161.621999519412,4147.555587405805,4133.491145039443,4119.427848199848,4105.365285649897,4119.427848199848,4133.491144166328,4147.555587405805,4161.622001265641,4175.6922494096225,4189.771733144879,4175.692247226834,4161.622000392526,4147.555587405805
17,17,19.0,12.0,15.0,89,5447.8102462599045,5429.271112661809,5410.799116361886,5392.327336594462,5410.799116361886,5429.271114408039,5447.743444237858,5466.216316272039,5484.690211596899,5503.166385315126,5484.690208977554,5466.216318018269,5447.743445984088,5429.271112661809,5410.799116361886,5392.327336594462,5410.799116361886,5429.271110915579,5447.743445984088,5466.216317145154,5484.690211596899,5503.166385751683,5484.690209850669,5466.216318891385,5447.743444237858,5429.271112661809,5410.799116361886,5392.327336594462,5410.799116361886,5429.271112661809,5447.743445984088,5466.216317145154,5484.690211596899,5503.166386624798,5484.690209850669,5466.216318891385,5447.743444237858,5429.271110915579,5410.799116361886,5392.327336594462,5410.799118108116,5429.271112661809,5447.743445984088,5466.216317145154,5484.6902133431295,5503.166386624798,5484.690209850669,5466.216318891385,5447.743445984088
18,18,21.0,16.0,17.0,91,1520.8651035209186,1515.7029984402468,1510.537438443862,1505.3719439310953,1510.5374393169766,1515.7029984402468,1520.8686160622165,1526.0342889087042,1531.2000261474168,1536.3658273417968,1531.2000261474168,1526.0342889087042,1520.8686151891015,1515.7029993133622,1510.537438443862,1505.3719439310953,1510.5374428094367,1515.7029984402468,1520.8686151891015,1526.0342891269831,1531.2000259291378,1536.3658282149115,1531.2000265839742,1526.0342893452616,1520.8686156256588,1515.7029984402468,1510.537438443862,1505.3719439310953,1510.5374397535345,1515.7029993133622,1520.8686156256588,1526.0342889087042,1531.2000257108593,1536.3658282149115,1531.2000263656955,1526.0342893452616,1520.8686151891015,1515.7029984402468,1510.5374401900915,1505.3719439310953,1510.5374393169766,1515.7029984402468,1520.8686160622165,1526.034288253868,1531.2000259291378,1536.3658287606086,1531.2000261474168,1526.0342893452616,1520.8686151891015
19,19,22.0,18.0,17.0,92,7562.229522736743,7536.588226212189,7510.943473898807,7485.298760002479,7510.943473898807,7536.588226212189,7562.233036151156,7587.877914193086,7613.522855099291,7639.16785537731,7613.522855099291,7587.877914193086,7562.233036151156,7536.588226212189,7510.943473898807,7485.298760002479,7510.943473898807,7536.588226212189,7562.233036151156,7587.877914193086,7613.522855099291,7639.167854504194,7613.522855099291,7587.877914193086,7562.233036151156,7536.588226212189,7510.943473898807,7485.298760002479,7510.943473898807,7536.588226212189,7562.233036151156,7587.877914193086,7613.522855099291,7639.167856250424,7613.522855099291,7587.877914193086,7562.233036151156,7536.588226212189,7510.943473898807,7485.298760002479,7510.943473898807,7536.588226212189,7562.233036151156,7587.877914193086,7613.522855099291,7639.167856250424,7613.522855099291,7587.877914193086,7562.233036151156
