Id,latitude,longitude,Weight,,# Result
324,49.608566,111.513793,1348.6229,,1.3486229
368,50.138097,110.541279,1150.2132,,1.1502132
367,50.513821,110.940779,1145.2898,,1.1452898
369,50.889544,111.340278,1142.8441,,1.1428441
325,55.859201,113.561161,312.8321,,0.3128321
365,54.282334,114.188723,281.11938,,0.28111938
362,54.196184,112.273309,249.42562,,0.24942562
360001,54.240837,109.809297,186.31579,,0.18631579
360,54.356306,109.044066,180.62028,,0.18062028
359,54.471774,108.37858,178.96156,,0.17896156
361,54.177691,110.816617,247.34198,,0.24734198
366,52.84845,111.678995,318.77828,,0.31877828
364,53.142984,110.674792,310.95856,,0.31095856
363,53.373921,109.310053,306.96693,,0.30696693
326,55.343201,112.405783,349.74998,,0.34974998
327,55.85875,112.437992,352.8427,,0.3528427
328,55.887617,111.606264,346.47107,,0.34647107
329,55.916484,110.674792,331.7055,,0.3317055
330,56.956603,113.270239,375.36263,,0.37536263
334,58.11219,112.737746,451.15134,,0.45115134
336,59.299801,113.660387,729.6816,,0.7296816
331,53.9666,115.410599,1017.3943,,1.0173943
332,54.110033,116.004913,1007.2515,,1.0072515
333,56.6332,114.684331,791.37295,,0.79137295
337,61.908668,112.669691,680.6524,,0.6806524
338,62.086832,114.415228,600.2336,,0.6002336
340,62.233423,116.776377,542.18525,,0.54218525
341,62.321378,118.108908,474.51496,,0.47451496
250,62.555472,119.947436,352.97626,,0.35297626
251,61.851385,119.934967,361.62543,,0.36162543
253,59.873084,119.637811,343.39437,,0.34339437
252,60.962818,119.803013,344.82816,,0.34482816
342,61.622252,118.184755,482.8757,,0.4828757
343,60.790518,118.184755,476.69747,,0.47669747
344,59.905109,117.906301,441.94528,,0.44194528
339,60.532518,114.750308,593.31733,,0.59331733
250003,63.832391,119.8586,287.6413,,0.2876413
250002,64.987978,119.825352,254.77824,,0.25477824
412,67.049272,118.63101,152.43687,,0.15243687
411,66.436296,117.029376,176.58067,,0.17658067
410,65.616289,114.904082,311.283,,0.311283
409,64.942873,113.52116,331.15512,,0.33115512
408,64.005594,111.429633,466.58814,,0.46658814
407001,62.98036,107.921416,607.2857,,0.6072857
407,61.105801,105.762353,610.2591,,0.6102591
345,61.765234,111.216636,587.4943,,0.5874943
