,Unnamed: 0_x,Id,Source,Target,Unnamed: 0_y,Weight,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
10,10,12,9,10,21,3776.846765,3763.903821,3751.078353,3738.25465,3751.078353,3763.90382,3776.731995,3789.564704,3802.405983,3815.266992,3802.405981,3789.564702,3776.731996,3763.903821,3751.078353,3738.25465,3751.078352,3763.903821,3776.731995,3789.564704,3802.405984,3815.266992,3802.405981,3789.564702,3776.731996,3763.903819,3751.078353,3738.25465,3751.078352,3763.90382,3776.731995,3789.564704,3802.405985,3815.266992,3802.40598,3789.564702,3776.731995,3763.90382,3751.078352,3738.25465,3751.078352,3763.903821,3776.731996,3789.564702,3802.405984,3815.266991,3802.40598,3789.564702,3776.731996
11,11,13,10,12,29,5312.836655,5294.739461,5276.723854,5258.7097,5276.723854,5294.739461,5312.757375,5330.779225,5348.80869,5366.856154,5348.808688,5330.779225,5312.757375,5294.739461,5276.723854,5258.7097,5276.723854,5294.739461,5312.757375,5330.779225,5348.808691,5366.856154,5348.808687,5330.779226,5312.757374,5294.739463,5276.723852,5258.7097,5276.72385,5294.739461,5312.757375,5330.779226,5348.80869,5366.856155,5348.808688,5330.779225,5312.757374,5294.739461,5276.723852,5258.7097,5276.723852,5294.739461,5312.757375,5330.779227,5348.808691,5366.856154,5348.808688,5330.779225,5312.757375
12,12,14,9,11,39,6475.297484,6453.256721,6431.305753,6409.353833,6431.305751,6453.256721,6475.20618,6497.152976,6519.094486,6541.022946,6519.09449,6497.152976,6475.20618,6453.256721,6431.305751,6409.353833,6431.305751,6453.256721,6475.20618,6497.152974,6519.094486,6541.022946,6519.094488,6497.152976,6475.20618,6453.256721,6431.305751,6409.353833,6431.305753,6453.256721,6475.20618,6497.152974,6519.094486,6541.022946,6519.094489,6497.152974,6475.20618,6453.256721,6431.305751,6409.353833,6431.305751,6453.256721,6475.20618,6497.152974,6519.094487,6541.022946,6519.09449,6497.152974,6475.20618
13,13,15,12,11,50,2883.902145,2874.141416,2864.366627,2854.590602,2864.366627,2874.141415,2883.91423,2893.683657,2903.446484,2913.193596,2903.446485,2893.683657,2883.914232,2874.141415,2864.366627,2854.590602,2864.366627,2874.141415,2883.914232,2893.683657,2903.446484,2913.193596,2903.446485,2893.683657,2883.914231,2874.141415,2864.366627,2854.590602,2864.366628,2874.141415,2883.91423,2893.683656,2903.446484,2913.193596,2903.446485,2893.683657,2883.91423,2874.141415,2864.366628,2854.590602,2864.366627,2874.141415,2883.91423,2893.683657,2903.446484,2913.193596,2903.446485,2893.683657,2883.914231
14,14,16,11,14,61,5430.354833,5411.955314,5393.542204,5375.128663,5393.542204,5411.955314,5430.367739,5448.778955,5467.187737,5485.590403,5467.18774,5448.778954,5430.367738,5411.955314,5393.542204,5375.128665,5393.542204,5411.955314,5430.367739,5448.778956,5467.187736,5485.590404,5467.18774,5448.778956,5430.367739,5411.955314,5393.542204,5375.128663,5393.542204,5411.955314,5430.36774,5448.778954,5467.187736,5485.590404,5467.18774,5448.778956,5430.367738,5411.955314,5393.542204,5375.128663,5393.542204,5411.955314,5430.36774,5448.778955,5467.187736,5485.590404,5467.18774,5448.778956,5430.36774
15,15,17,80,13,72,14720.31014,14670.40544,14620.49392,14570.58208,14620.49391,14670.40544,14720.31643,14770.22643,14820.13436,14870.03693,14820.13436,14770.22643,14720.31643,14670.40544,14620.49391,14570.58208,14620.49391,14670.40544,14720.31643,14770.22643,14820.13436,14870.03693,14820.13436,14770.22643,14720.31643,14670.40544,14620.49392,14570.58208,14620.49392,14670.40544,14720.31643,14770.22643,14820.13436,14870.03693,14820.13436,14770.22643,14720.31643,14670.40544,14620.49391,14570.58208,14620.49391,14670.40544,14720.31643,14770.22643,14820.13436,14870.03693,14820.13436,14770.22643,14720.31643
16,16,18,14,15,83,4147.519773,4133.491144,4119.427846,4105.365284,4119.427848,4133.491144,4147.555587,4161.622001,4175.69225,4189.771733,4175.692248,4161.622,4147.555587,4133.491145,4119.427846,4105.365286,4119.427848,4133.491145,4147.555587,4161.622001,4175.69225,4189.771732,4175.692247,4161.622,4147.555587,4133.491145,4119.427848,4105.365284,4119.427846,4133.491145,4147.555587,4161.622001,4175.692249,4189.771733,4175.692248,4161.622,4147.555587,4133.491145,4119.427848,4105.365286,4119.427848,4133.491144,4147.555587,4161.622001,4175.692249,4189.771733,4175.692247,4161.622,4147.555587
17,17,19,12,15,89,5447.810246,5429.271113,5410.799116,5392.327337,5410.799116,5429.271114,5447.743444,5466.216316,5484.690212,5503.166385,5484.690209,5466.216318,5447.743446,5429.271113,5410.799116,5392.327337,5410.799116,5429.271111,5447.743446,5466.216317,5484.690212,5503.166386,5484.69021,5466.216319,5447.743444,5429.271113,5410.799116,5392.327337,5410.799116,5429.271113,5447.743446,5466.216317,5484.690212,5503.166387,5484.69021,5466.216319,5447.743444,5429.271111,5410.799116,5392.327337,5410.799118,5429.271113,5447.743446,5466.216317,5484.690213,5503.166387,5484.69021,5466.216319,5447.743446
18,18,21,16,17,91,1520.865104,1515.702998,1510.537438,1505.371944,1510.537439,1515.702998,1520.868616,1526.034289,1531.200026,1536.365827,1531.200026,1526.034289,1520.868615,1515.702999,1510.537438,1505.371944,1510.537443,1515.702998,1520.868615,1526.034289,1531.200026,1536.365828,1531.200027,1526.034289,1520.868616,1515.702998,1510.537438,1505.371944,1510.53744,1515.702999,1520.868616,1526.034289,1531.200026,1536.365828,1531.200026,1526.034289,1520.868615,1515.702998,1510.53744,1505.371944,1510.537439,1515.702998,1520.868616,1526.034288,1531.200026,1536.365829,1531.200026,1526.034289,1520.868615
19,19,22,18,17,92,7562.229523,7536.588226,7510.943474,7485.29876,7510.943474,7536.588226,7562.233036,7587.877914,7613.522855,7639.167855,7613.522855,7587.877914,7562.233036,7536.588226,7510.943474,7485.29876,7510.943474,7536.588226,7562.233036,7587.877914,7613.522855,7639.167855,7613.522855,7587.877914,7562.233036,7536.588226,7510.943474,7485.29876,7510.943474,7536.588226,7562.233036,7587.877914,7613.522855,7639.167856,7613.522855,7587.877914,7562.233036,7536.588226,7510.943474,7485.29876,7510.943474,7536.588226,7562.233036,7587.877914,7613.522855,7639.167856,7613.522855,7587.877914,7562.233036
