 Node ID,0:00 ,1:00 ,2:00 ,3:00 ,4:00 ,5:00 ,6:00 ,7:00 ,8:00 ,9:00 ,10:00 ,
23,47.099170,47.099340,47.099340,47.099340,47.099340,47.099340,47.099340,47.099340,47.099340,47.099340,47.099340,
24,47.109680,47.109850,47.109850,47.109850,47.109850,47.109850,47.109850,47.109850,47.109850,47.109850,47.109850,
25,47.149180,47.149350,47.149350,47.149350,47.149350,47.149350,47.149350,47.149350,47.149350,47.149350,47.149350,
26,47.225250,47.225420,47.225420,47.225420,47.225420,47.225420,47.225420,47.225420,47.225420,47.225420,47.225420,
27,47.314860,47.315030,47.315030,47.315030,47.315030,47.315030,47.315030,47.315030,47.315030,47.315030,47.315030,
28,47.606870,47.607050,47.607050,47.607050,47.607050,47.607050,47.607050,47.607050,47.607050,47.607050,47.607050,
29,48.023220,48.023390,48.023390,48.023390,48.023390,48.023390,48.023390,48.023390,48.023390,48.023390,48.023390,
30,48.226160,48.226340,48.226340,48.226340,48.226340,48.226340,48.226340,48.226340,48.226340,48.226340,48.226340,
31,47.960170,47.960340,47.960340,47.960340,47.960340,47.960340,47.960340,47.960340,47.960340,47.960340,47.960340,
32,47.394570,47.394740,47.394740,47.394740,47.394740,47.394740,47.394740,47.394740,47.394740,47.394740,47.394740,
33,47.245780,47.245950,47.245950,47.245950,47.245950,47.245950,47.245950,47.245950,47.245950,47.245950,47.245950,
34,47.419420,47.419590,47.419590,47.419590,47.419590,47.419590,47.419590,47.419590,47.419590,47.419590,47.419590,
35,47.187450,47.187620,47.187620,47.187620,47.187620,47.187620,47.187620,47.187620,47.187620,47.187620,47.187620,
36,47.141780,47.141960,47.141960,47.141960,47.141960,47.141960,47.141960,47.141960,47.141960,47.141960,47.141960,
37,47.110980,47.111160,47.111160,47.111160,47.111160,47.111160,47.111160,47.111160,47.111160,47.111160,47.111160,
38,47.094990,47.095160,47.095160,47.095160,47.095160,47.095160,47.095160,47.095160,47.095160,47.095160,47.095160,
39,47.091480,47.091660,47.091660,47.091660,47.091660,47.091660,47.091660,47.091660,47.091660,47.091660,47.091660,
40,47.096930,47.097100,47.097100,47.097100,47.097100,47.097100,47.097100,47.097100,47.097100,47.097100,47.097100,
41,47.103650,47.103820,47.103820,47.103820,47.103820,47.103820,47.103820,47.103820,47.103820,47.103820,47.103820,
42,47.119480,47.119650,47.119650,47.119650,47.119650,47.119650,47.119650,47.119650,47.119650,47.119650,47.119650,
43,47.176130,47.176300,47.176300,47.176300,47.176300,47.176300,47.176300,47.176300,47.176300,47.176300,47.176300,
44,47.525730,47.525910,47.525910,47.525910,47.525910,47.525910,47.525910,47.525910,47.525910,47.525910,47.525910,
45,47.899990,47.900170,47.900170,47.900170,47.900170,47.900170,47.900170,47.900170,47.900170,47.900170,47.900170,
